,current_value,total_value,time
0,-1,-1,2.2407217025756836
1,-1,-5,2.516653537750244
2,1,-9,4.794693470001221
3,1,-6,5.018113851547241
4,1,-3,6.454432249069214
5,1,2,6.667371988296509
6,1,6,6.9039270877838135
7,1,11,7.1097540855407715
8,1,16,9.774852752685547
9,1,20,10.06308650970459
10,-1,22,14.573440551757812
11,-1,17,14.835413455963135
12,-1,13,15.067206859588623
13,-1,7,15.274001598358154
14,-1,1,15.497488021850586
15,-1,-5,15.70991849899292
16,-1,-11,15.920459747314453
17,-1,-17,16.146440982818604
18,1,-19,17.219669342041016
19,1,-16,17.826135635375977
20,1,-11,20.604365348815918
21,1,-7,20.866618871688843
22,-1,-5,25.724788665771484
23,-1,-11,25.956012725830078
24,-1,-17,26.1741840839386
25,-1,-23,26.415475845336914
26,-1,-25,27.155538082122803
27,-1,-31,27.651353120803833
28,1,-34,29.211591720581055
29,1,-28,29.415449857711792
30,1,-22,29.62905740737915
31,1,-16,29.832913875579834
32,1,-10,30.034356117248535
